Country of Giftor,Institution Name,ID,OPEID,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Giftor Name,Country to merge on,Rank,Score,Electoral process and pluralism,Functioning of government,Political participation,Political culture,Civil liberties,Regime type,Region
Afghanistan,Ball State University,830,178600,Muncie,IN,2013-08-28,3000000,Contract,Ministry of Education,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,1243,207700,Baltimore,MD,2012-11-01,1331460,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,2482,207700,Baltimore,MD,2012-10-01,715815,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,2557,207700,Baltimore,MD,2012-05-31,690710,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,6736,207700,Baltimore,MD,2013-05-31,250004,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,7164,207700,Baltimore,MD,2013-06-30,240059,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,8562,207700,Baltimore,MD,2012-03-31,144089,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,9178,207700,Baltimore,MD,2013-03-30,115952,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Johns Hopkins University,12676,207700,Baltimore,MD,2013-04-30,23375,Monetary Gift,,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Ohio University,7315,310000,Athens,OH,2018-09-18,224000,Contract,Mn Pub Wrks Islamic Rep Afghanistan,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Ohio University,7999,310000,Athens,OH,2018-10-18,171004,Contract,Mn Pub Wrks Islamic Rep Afghanistan,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,Ohio University,9060,310000,Athens,OH,2018-07-17,121098,Contract,Mn Pub Wrks Islamic Rep Afghanistan,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,University of Illinois at Urbana-Champaign,4690,177500,Champaign,IL,2014-06-09,378900,Monetary Gift,Council for the Develop of Social,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,University of Illinois at Urbana-Champaign,6570,177500,Champaign,IL,2018-10-08,259619,Contract,DSM Biotechnology Center,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Afghanistan,University of Illinois at Urbana-Champaign,19312,177500,Champaign,IL,2014-06-24,1225689,Contract,Ministry of Health of Rwanda,Afghanistan,141.0,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,Asia & Australasia
Angola,University of Oklahoma,3675,318400,Norman,OK,2018-08-20,499908,Contract,Western African Management Service,Angola,119.0,3.72,2.25,2.86,5.56,5.0,2.94,Authoritarian,Sub-Saharan Africa
Argentina,Columbia University in the City of New York,6335,270700,New York,NY,2016-07-19,280000,Contract,FUNDACIÓN RED DE ACCIÓN POLÍTICA,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Harvard University,4579,215500,Cambridge,MA,2016-07-01,390341,Contract,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Harvard University,5979,215500,Cambridge,MA,2013-07-01,297798,Contract,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Harvard University,6448,215500,Cambridge,MA,2012-07-01,266268,Contract,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Harvard University,6629,215500,Cambridge,MA,2015-07-01,256326,Contract,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
Argentina,Harvard University,7105,215500,Cambridge,MA,2016-07-01,250000,Monetary Gift,,Argentina,48.0,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,Latin America
