UNITID,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW
100654,1,999,"R",6508,"R",2627,"R",3881,"R",12,"R",2,"R",10,"R",19,"R",9,"R",10,"R",5769,"R",2323,"R",3446,"R",52,"R",27,"R",25,"R",10,"R",4,"R",6,"R",250,"R",111,"R",139,"R",63,"R",20,"R",43,"R",243,"R",86,"R",157,"R",90,"R",45,"R",45
100654,2,  1,"R",5343,"R",2279,"R",3064,"R",10,"R",1,"R",9,"R",10,"R",3,"R",7,"R",4823,"R",2042,"R",2781,"R",48,"R",27,"R",21,"R",9,"R",4,"R",5,"R",138,"R",87,"R",51,"R",58,"R",19,"R",39,"R",194,"R",70,"R",124,"R",53,"R",26,"R",27
100654,4,  3,"R",1165,"R",348,"R",817,"R",2,"R",1,"R",1,"R",9,"R",6,"R",3,"R",946,"R",281,"R",665,"R",4,"R",0,"R",4,"R",1,"R",0,"R",1,"R",112,"R",24,"R",88,"R",5,"R",1,"R",4,"R",49,"R",16,"R",33,"R",37,"R",19,"R",18
100663,1,999,"R",24943,"R",9668,"R",15275,"R",73,"R",29,"R",44,"R",1324,"R",545,"R",779,"R",5536,"R",1707,"R",3829,"R",792,"R",303,"R",489,"R",10,"R",4,"R",6,"R",14801,"R",5902,"R",8899,"R",876,"R",325,"R",551,"R",368,"R",150,"R",218,"R",1163,"R",703,"R",460
100663,2,  1,"R",14445,"R",5883,"R",8562,"R",46,"R",17,"R",29,"R",793,"R",340,"R",453,"R",3866,"R",1263,"R",2603,"R",478,"R",205,"R",273,"R",3,"R",0,"R",3,"R",8136,"R",3519,"R",4617,"R",596,"R",233,"R",363,"R",124,"R",57,"R",67,"R",403,"R",249,"R",154
100663,4,  3,"R",10498,"R",3785,"R",6713,"R",27,"R",12,"R",15,"R",531,"R",205,"R",326,"R",1670,"R",444,"R",1226,"R",314,"R",98,"R",216,"R",7,"R",4,"R",3,"R",6665,"R",2383,"R",4282,"R",280,"R",92,"R",188,"R",244,"R",93,"R",151,"R",760,"R",454,"R",306
100690,1,999,"R",967,"R",369,"R",598,"R",4,"R",3,"R",1,"R",9,"R",5,"R",4,"R",627,"R",166,"R",461,"R",16,"R",11,"R",5,"R",6,"R",3,"R",3,"R",270,"R",166,"R",104,"Z",0,"Z",0,"Z",0,"R",35,"R",15,"R",20,"Z",0,"Z",0,"Z",0
100690,2,  1,"R",440,"R",152,"R",288,"R",2,"R",2,"Z",0,"R",4,"R",2,"R",2,"R",328,"R",95,"R",233,"R",8,"R",5,"R",3,"R",1,"R",1,"Z",0,"R",86,"R",42,"R",44,"Z",0,"Z",0,"Z",0,"R",11,"R",5,"R",6,"Z",0,"Z",0,"Z",0
100690,4,  3,"R",527,"R",217,"R",310,"R",2,"R",1,"R",1,"R",5,"R",3,"R",2,"R",299,"R",71,"R",228,"R",8,"R",6,"R",2,"R",5,"R",2,"R",3,"R",184,"R",124,"R",60,"Z",0,"Z",0,"Z",0,"R",24,"R",10,"R",14,"Z",0,"Z",0,"Z",0
100706,1,999,"R",10588,"R",5859,"R",4729,"R",123,"R",63,"R",60,"R",414,"R",229,"R",185,"R",1118,"R",455,"R",663,"R",447,"R",242,"R",205,"R",8,"R",4,"R",4,"R",7323,"R",4180,"R",3143,"R",237,"R",114,"R",123,"R",374,"R",194,"R",180,"R",544,"R",378,"R",166
100706,2,  1,"R",8145,"R",4612,"R",3533,"R",95,"R",54,"R",41,"R",335,"R",189,"R",146,"R",894,"R",386,"R",508,"R",377,"R",206,"R",171,"R",8,"R",4,"R",4,"R",5767,"R",3390,"R",2377,"R",211,"R",104,"R",107,"R",250,"R",138,"R",112,"R",208,"R",141,"R",67
100706,4,  3,"R",2443,"R",1247,"R",1196,"R",28,"R",9,"R",19,"R",79,"R",40,"R",39,"R",224,"R",69,"R",155,"R",70,"R",36,"R",34,"R",0,"R",0,"R",0,"R",1556,"R",790,"R",766,"R",26,"R",10,"R",16,"R",124,"R",56,"R",68,"R",336,"R",237,"R",99
100724,1,999,"R",5374,"R",2001,"R",3373,"R",6,"R",3,"R",3,"R",27,"R",14,"R",13,"R",4917,"R",1813,"R",3104,"R",53,"R",25,"R",28,"R",3,"R",0,"R",3,"R",193,"R",68,"R",125,"R",55,"R",21,"R",34,"R",53,"R",20,"R",33,"R",67,"R",37,"R",30
100724,2,  1,"R",4732,"R",1826,"R",2906,"R",6,"R",3,"R",3,"R",16,"R",7,"R",9,"R",4429,"R",1692,"R",2737,"R",47,"R",23,"R",24,"R",3,"R",0,"R",3,"R",78,"R",34,"R",44,"R",52,"R",19,"R",33,"R",51,"R",19,"R",32,"R",50,"R",29,"R",21
100724,4,  3,"R",642,"R",175,"R",467,"R",0,"R",0,"R",0,"R",11,"R",7,"R",4,"R",488,"R",121,"R",367,"R",6,"R",2,"R",4,"R",0,"R",0,"R",0,"R",115,"R",34,"R",81,"R",3,"R",2,"R",1,"R",2,"R",1,"R",1,"R",17,"R",8,"R",9
