UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02   
100690,"R",8446963,"R",2734955,"R",0,"R",12678027,"R",2311542,"R",2018930,"R",9439062,"R",927423,"R",174805,"R",752618,"R",10366485,"R",493719,"R",942329,"R",3314464,"R",846907,"Z",0,"R",5597419,"R",2862464,"R",8244091,"R",6875035,"R",0,"R",1369056,"R",8997429,"R",0,"R",10366485,"R",1037437,"R",14450,"R",0,"R",0,"R",0,"R",579017,"R",1630904,"R",579017,"Z",0,"R",579017,"R",7379154,"R",7379154,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14450,"R",14450,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",802332,"R",400797,"R",401535,"R",0,"R",802332,"R",400797,"R",401535,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-19424,"R",-26787,"R",7363,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",67579,"R",93679,"R",-26100,"R",0,"R",8244091,"R",7861293,"R",382798,"Z",0,"R",0,"R",26100,"R",-26100,"Z",0,"R",8244091,"R",7887393,"R",356698,"R",0,"R",2174518,"R",1616126,"Z",0,"Z",0,"Z",0,"Z",0,"R",468449,"R",384744,"R",829504,"R",681345,"R",3402564,"R",1113058,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",6875035,"R",3795273,"R",562098,"R",233766,"R",123019,"R",113321,"R",2047558, 1,"R",174805,"R",174804
100937,"R",54504078,"R",98883273,"R",0,"R",173622974,"R",51238192,"R",36107569,"R",59079744,"R",63305038,"R",55632600,"R",7672438,"R",122384782,"R",25621660,"R",162242525,"R",30452500,"R",0,"R",0,"R",218316685,"R",119433412,"R",43107825,"R",47313742,"R",0,"R",-4205917,"R",126590699,"R",0,"R",122384782,"R",1275420,"R",108094,"R",0,"R",0,"R",5940276,"R",23532902,"R",30856692,"R",29473178,"R",0,"R",29473178,"R",15435441,"R",15435441,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",219710,"R",219710,"R",0,"R",0,"R",14110,"R",14110,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5213934,"R",2601239,"R",1729493,"R",883202,"R",5146154,"R",2533459,"R",1729493,"R",883202,"R",67780,"R",67780,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4010508,"R",81527,"R",3882259,"R",46722,"R",0,"R",0,"R",17273552,"R",17273552,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",940570,"R",622981,"R",317589,"R",0,"R",43107825,"R",36248560,"R",5929341,"R",929924,"R",0,"R",11210680,"R",-11055855,"R",-154825,"R",43107825,"R",47459240,"R",-5126514,"R",775099,"R",14043311,"R",8643433,"R",0,"R",0,"R",0,"R",0,"R",3682954,"R",709243,"R",9373061,"R",4020408,"R",9229392,"R",3910402,"R",10670543,"R",714847,"R",314479,"R",0,"R",0,"R",0,"R",0,"R",2,"R",1,"R",47313742,"R",17998334,"R",4851047,"R",5043065,"R",3044972,"R",2037908,"R",14338416, 1,"R",53528445,"R",56701074
101189,"R",21286691,"R",54616030,"Z",0,"R",91698052,"R",43965879,"R",34224527,"R",29424396,"R",18307777,"R",12838471,"R",5469306,"R",47732173,"R",6606644,"R",67787097,"R",28091545,"R",76588,"Z",0,"R",102561874,"R",47945844,"R",43339948,"R",43252022,"R",0,"R",87926,"R",47644247,"R",0,"R",47732173,"R",7110869,"R",593746,"R",916159,"Z",0,"R",585256,"R",12362359,"R",21568389,"R",12186158,"R",1124774,"R",13310932,"R",34290730,"R",34290730,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1001174,"R",17500,"R",983674,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2611965,"R",1058668,"R",1544015,"R",9282,"R",2611965,"R",1058668,"R",1544015,"R",9282,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",971183,"R",120422,"R",766367,"R",84394,"Z",0,"Z",0,"R",3423982,"R",3423982,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1040914,"R",1017536,"R",23378,"R",0,"R",43339948,"R",39928838,"R",3317434,"R",93676,"R",0,"R",5040563,"R",-5040563,"Z",0,"R",43339948,"R",44969401,"R",-1723129,"R",93676,"R",16701836,"R",11008278,"Z",0,"Z",0,"Z",0,"Z",0,"R",2891236,"R",1235222,"R",8935801,"R",3755224,"R",9073990,"R",3010895,"R",4243243,"R",149337,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1405916,"R",0,"R",43252022,"R",19158956,"R",3769762,"R",4158159,"R",2559088,"R",1412233,"R",12193824, 1,"R",18466329,"R",18900744
101365,"R",0,"R",3395527,"R",0,"R",6830836,"R",3736788,"R",0,"R",3094048,"R",0,"R",0,"R",0,"R",3094048,"R",280000,"R",3153703,"R",555327,"R",0,"R",0,"R",3989030,"R",593503,"R",8046384,"R",5491173,"R",23114,"R",2578325,"R",515723,"R",0,"R",3094048,"R",1733976,"R",86875,"R",10638,"R",0,"R",0,"R",1037612,"R",2869101,"R",1037612,"Z",0,"R",1037612,"R",7781108,"R",7781108,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",265276,"R",265276,"R",0,"R",0,"R",8046384,"R",8046384,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",8046384,"R",8046384,"R",0,"R",0,"R",2096271,"R",1033179,"Z",0,"Z",0,"Z",0,"Z",0,"R",368165,"R",257248,"R",1695100,"R",566807,"R",975975,"R",271553,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",355662,"R",48940,"R",5491173,"R",2177727,"R",477973,"R",149919,"R",76197,"Z",0,"R",2609357, 2,"A",,"A",
101435,"R",48500407,"R",30335804,"R",0,"R",87740895,"R",27417305,"R",23657392,"R",8681570,"R",51642020,"R",48500407,"R",3141613,"R",60323590,"R",3049311,"R",42009402,"R",12116178,"R",3045009,"R",0,"R",60219900,"R",29884096,"R",24399475,"R",22217894,"R",0,"R",2181581,"R",58142009,"R",0,"R",60323590,"R",2344530,"R",138127,"R",518065,"R",0,"R",4761826,"R",6613898,"R",14376446,"R",11354407,"R",0,"R",11354407,"R",11360823,"R",11360823,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",102481,"R",102481,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4324820,"R",4132998,"R",53476,"R",138346,"R",4324820,"R",4132998,"R",53476,"R",138346,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3217091,"R",1258830,"R",1488338,"R",469923,"Z",0,"Z",0,"R",5233241,"R",5233241,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",161019,"R",1176996,"R",-732676,"R",-283301,"R",24399475,"R",23265369,"R",809138,"R",324968,"R",0,"R",0,"Z",0,"Z",0,"R",24399475,"R",23265369,"R",809138,"R",324968,"R",6830166,"R",4236949,"R",0,"R",0,"R",0,"R",0,"R",1493794,"R",890225,"R",6622252,"R",3064474,"R",3675874,"R",1818624,"R",3595808,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22217894,"R",10010272,"R",1639350,"R",1520214,"R",1959988,"R",818382,"R",6269688, 1,"R",48175439,"R",48500407
101453,"R",12515222,"R",2967582,"R",0,"R",16015624,"R",2539745,"R",1030632,"R",3627132,"R",9848747,"R",6537785,"R",3310962,"R",13475879,"R",1019751,"R",2689289,"R",3580089,"R",0,"R",0,"R",7289129,"R",4321547,"R",3948105,"R",3258244,"R",-3,"R",689858,"R",12786018,"R",3,"R",13475879,"R",94478,"R",9926,"Z",0,"Z",0,"R",378932,"Z",0,"R",483336,"Z",0,"Z",0,"Z",0,"R",644325,"R",644325,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2437126,"R",2280822,"R",33481,"R",122823,"R",2437126,"R",2280822,"R",33481,"R",122823,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",426680,"R",88823,"R",336899,"R",958,"Z",0,"Z",0,"R",75037,"R",75037,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",364937,"R",364937,"R",0,"R",0,"R",3948105,"R",3453944,"R",370380,"R",123781,"R",0,"R",-312980,"R",312980,"Z",0,"R",3948105,"R",3140964,"R",683360,"R",123781,"R",538644,"R",426129,"R",29187,"Z",0,"R",32986,"Z",0,"R",129256,"R",41820,"R",315255,"R",203513,"R",1628311,"R",711755,"R",124405,"R",26910,"R",378932,"Z",0,"Z",0,"Z",0,"Z",0,"R",81268,"R",0,"R",3258244,"R",1410127,"R",184710,"R",539317,"R",204181,"R",33799,"R",886110, 1,"R",9551013,"R",10288695
101541,"R",15579063,"R",12693610,"Z",0,"R",32317484,"R",16183036,"R",0,"R",886900,"R",15247548,"R",14182282,"R",1065266,"R",16134448,"R",3351970,"R",20718733,"R",6143099,"R",0,"Z",0,"R",30213802,"R",17520192,"R",10855209,"R",9895262,"R",-1453813,"R",-493866,"R",16628314,"R",0,"R",16134448,"R",753545,"R",88081,"R",179003,"Z",0,"R",900267,"R",1906810,"R",3827706,"R",2797347,"Z",0,"R",2797347,"R",2353735,"R",2353735,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2062200,"R",961072,"R",326110,"R",775018,"R",2062200,"R",961072,"R",326110,"R",775018,"R",0,"R",0,"R",0,"R",0,"R",519318,"R",519318,"Z",0,"Z",0,"R",446456,"R",-4326,"R",-10378,"R",461160,"R",0,"R",0,"R",2232026,"R",2232026,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3241474,"R",2753501,"R",487973,"R",0,"R",10855209,"R",8815326,"R",803705,"R",1236178,"R",0,"R",0,"Z",0,"Z",0,"R",10855209,"R",8815326,"R",803705,"R",1236178,"R",3614324,"R",2279194,"R",0,"Z",0,"R",118284,"R",45407,"R",875298,"R",438082,"R",1331864,"R",703077,"R",1428345,"R",793480,"R",1782705,"R",284302,"R",0,"R",0,"Z",0,"R",0,"Z",0,"R",744442,"R",0,"R",9895262,"R",4543542,"R",724210,"R",1059411,"R",744442,"R",806365,"R",2017292, 1,"R",16146614,"R",15388964
101675,"R",21675239,"R",49028970,"R",0,"R",93653829,"R",36169273,"R",34160793,"R",54344567,"R",3139989,"R",2182071,"R",957918,"R",57484556,"R",5837538,"R",70320456,"R",18563184,"R",3654498,"R",0,"R",98375676,"R",49346706,"R",31164648,"R",30916410,"R",0,"R",248238,"R",57236318,"R",0,"R",57484556,"R",8396144,"R",4169775,"R",259643,"R",0,"R",595322,"R",3491850,"R",16912734,"R",4087173,"R",0,"R",4087173,"R",8330074,"R",8330074,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12565919,"R",12565919,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2162115,"R",2162115,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2162115,"R",2162115,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1080005,"R",1080005,"R",0,"R",0,"R",0,"R",0,"R",5496657,"R",5496657,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1529878,"R",1529878,"R",0,"R",0,"R",31164648,"R",31164648,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31164648,"R",31164648,"R",0,"R",0,"R",6276237,"R",4881104,"R",0,"R",0,"R",6254,"R",0,"R",1779573,"R",1283795,"R",6287473,"R",3328903,"R",6594875,"R",2212452,"R",2836688,"R",72420,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7135310,"R",1132800,"R",30916410,"R",12911474,"R",2224902,"R",10186255,"R",1796257,"R",1539191,"R",2258331, 1,"R",20938945,"R",21675239
101693,"R",21520923,"R",36473298,"R",0,"R",68897437,"R",36354646,"R",31373534,"R",6370237,"R",26172554,"R",19601733,"R",6570821,"R",32542791,"R",1103078,"R",55407539,"R",11849146,"R",680846,"R",1050060,"R",70090669,"R",33617371,"R",29181795,"R",29164840,"R",0,"R",16955,"R",32525836,"R",0,"R",32542791,"R",2716514,"R",98144,"R",872351,"R",0,"R",2054516,"R",11335823,"R",17077348,"R",13478959,"R",0,"R",13478959,"R",13474619,"R",13474619,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",184660,"R",184660,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7124187,"R",1753997,"R",5247131,"R",123059,"R",5263850,"R",1753997,"R",3386794,"R",123059,"R",1860337,"R",0,"R",1860337,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1350894,"R",436441,"R",912432,"R",2021,"R",0,"R",0,"R",5822901,"R",5822901,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1224534,"R",1226134,"R",197,"R",-1797,"R",29181795,"R",22898752,"R",6159760,"R",123283,"R",0,"R",-4907230,"R",4907230,"R",0,"R",29181795,"R",17991522,"R",11066990,"R",123283,"R",9569764,"R",5611727,"R",0,"R",0,"R",0,"R",0,"R",678366,"R",272931,"R",2929680,"R",1330544,"R",7377323,"R",2075097,"R",8609707,"R",1074375,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",29164840,"R",10364674,"R",3118948,"R",3670161,"R",2365602,"R",1918543,"R",7726912, 1,"R",21912486,"R",22606173
101912,"R",22717546,"R",47367680,"R",0,"R",99736770,"R",16516728,"R",9340611,"R",56314818,"R",26905224,"R",4116976,"R",22788248,"R",83220042,"R",5228438,"R",69279501,"R",29956423,"R",0,"R",1086937,"R",105551299,"R",58183619,"R",57364668,"R",54786282,"R",0,"R",2578386,"R",80641656,"R",0,"R",83220042,"R",3704349,"R",645144,"R",81656,"R",0,"R",7617835,"R",93822,"R",12142806,"R",6375422,"R",5767384,"R",12142806,"R",20687176,"R",20687176,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",8858127,"R",0,"R",8858127,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7233626,"R",1189657,"R",6011069,"R",32900,"R",2814992,"R",1189657,"R",1592435,"R",32900,"R",4418634,"R",0,"R",4418634,"R",0,"R",7365279,"R",7365279,"R",0,"Z",0,"R",1493954,"R",849132,"R",407262,"R",237560,"R",285963,"R",285963,"R",8831061,"R",8831061,"R",0,"R",0,"R",716061,"R",716061,"R",0,"R",0,"R",1893421,"R",1560586,"R",273180,"R",59655,"R",57364668,"R",41484915,"R",15549638,"R",330115,"R",0,"R",13940207,"R",-13940207,"R",0,"R",57364668,"R",55425122,"R",1609431,"R",330115,"R",11885409,"R",7366578,"R",777696,"R",331637,"R",133812,"R",44369,"R",4395952,"R",1634173,"R",4834087,"R",1891033,"R",12197768,"R",4508782,"R",5807710,"R",760969,"R",0,"R",0,"R",0,"R",939438,"R",344429,"R",13814410,"R",0,"R",54786282,"R",16881970,"R",7326498,"R",3351599,"R",3830281,"R",345146,"R",23050788, 1,"R",15646791,"R",17659346
