UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",96249887,"R",141236880,"R",14808858,"R",156045738,"R",252295625,"R",8154567,"R",3436024,"R",73480344,"R",76916368,"R",83758678,"R",116823221,"R",200581899,"R",277498267,"R",14415084,"R",57240171,"R",779557,"R",0,"R",-89482887,"R",-31463159,"R",5598192,"R",0,"R",231375495,"R",37175136,"R",6020816,"R",280169639,"R",129081553,"R",0,"R",4957652,"R",159767114,"R",148802597,"R",10964517,"R",18113594,"R",-60541270,"R",-31463159,"R",41890801,"R",22083622,"R",987773,"R",530934,"R",0,"R",530934,"R",21461701,"R",0,"R",2685755,"R",0,"R",211641,"R",89852227,"R",5032605,"R",41017090,"R",0,"R",18619132,"R",90460,"R",0,"R",2214839,"R",149939,"R",2790822,"R",69914887,"R",159767114,"R",0,"R",0,"R",0,"R",0,"R",0,"R",159767114,"R",30423688,"R",22014538,"R",12219233,"R",5714884,"R",12078711,"R",6745188,"R",6282268,"R",3244006,"R",16744455,"R",8225240,"R",17505256,"R",9011363,"R",20099094,"R",11232916,"R",1319722,"R",0,"R",0,"R",0,"R",0,"R",22216976,"R",0,"R",148802597,"R",56274941,"R",19061771,"R",15226287,"R",6990689,"R",1954036,"R",49294873,2 ,"A",,"A",,"A",,"A",,"R",18125301,"R",493831,"R",90460,"R",0,"R",0,"R",23325276,"R",42034868,"R",21935774,"R",0,"R",21935774,"R",20099094,2 ,"A",,"A",
100663,"R",1580145078,"R",1644215290,"R",1462611092,"R",3106826382,"R",4686971460,"R",297526667,"R",34951086,"R",415124930,"R",450076016,"R",902290484,"R",1850958961,"R",2753249445,"R",3203325461,"R",218264713,"R",741423381,"R",386638833,"R",341884711,"R",92961028,"R",1562907953,"R",149431372,"R",98270776,"R",2527815972,"R",971797702,"R",74451941,"R",3821767763,"R",2177552473,"R",0,"R",0,"R",3223102073,"R",3028818180,"R",194283893,"R",1906997505,"R",-538373445,"R",1562907953,"R",253707923,"R",370528637,"R",8057617,"R",83047140,"R",2999958,"R",80047182,"R",44253545,"R",1864755549,"R",68464868,"R",0,"R",59105490,"R",2751920769,"R",0,"R",273351124,"R",0,"R",34611639,"R",101404,"R",0,"R",34009483,"R",89775747,"R",2808029,"R",434657426,"R",3186578195,"R",0,"R",2285326,"R",18401517,"R",15837035,"R",36523878,"R",3223102073,"R",316803862,"R",190535941,"R",309591511,"R",131441976,"R",195478325,"R",84634647,"R",185829462,"R",115396646,"R",47901478,"R",21075528,"R",150354709,"R",59446899,"R",27779628,"R",86556442,"R",17918544,"R",1708522763,"R",591856615,"R",0,"R",0,"R",0,"R",0,"R",3028818180,"R",1212306796,"R",393829108,"R",84174528,"R",145454119,"R",28964461,"R",1164089168,1 ,"R",86199000,"R",1161162000,"R",147061000,"R",160535000,"R",23866832,"R",14239833,"R",207050,"R",34765,"R",10412976,"R",31490450,"R",80251906,"R",49334451,"R",3137827,"R",52472278,"R",27779628,1 ,"R",495337612,"R",524675419
100706,"R",120009299,"R",280308024,"R",82524287,"R",362832311,"R",482841610,"R",32894090,"R",4722149,"R",66841952,"R",71564101,"R",123145440,"R",201778332,"R",324923772,"R",396487873,"R",26728420,"R",168455369,"R",18303547,"R",9990561,"R",-104230070,"R",92519407,"R",35744219,"R",0,"R",408692338,"R",102461523,"R",11027300,"R",557925380,"R",265680873,"R",3238818,"R",0,"R",235286348,"R",239618811,"R",-4332463,"R",143013745,"R",-46161875,"R",92519407,"R",67638989,"R",77317933,"R",3919899,"R",1740491,"R",0,"R",1740491,"R",11353348,"R",0,"R",5465339,"R",0,"R",0,"R",167435999,"R",0,"R",48352459,"R",0,"R",9021580,"R",0,"R",0,"R",3067873,"R",4849274,"R",0,"R",65291186,"R",232727185,"R",0,"R",2161614,"R",0,"R",397549,"R",2559163,"R",235286348,"R",72045250,"R",41304006,"R",80472117,"R",44828892,"R",7246930,"R",2534255,"R",13728505,"R",6783581,"R",21184067,"R",7517299,"R",24514632,"R",11298284,"R",3332226,"R",13906502,"R",1446329,"R",0,"R",0,"R",0,"R",0,"R",3188582,"R",0,"R",239618811,"R",115712646,"R",42924928,"R",13532266,"R",17143814,"R",4223715,"R",46081442,1 ,"R",12135939,"R",147428000,"R",20851000,"R",22885770,"R",8706058,"R",137884,"R",55537,"R",0,"R",5378856,"R",30669988,"R",44948323,"R",39161060,"R",2455037,"R",41616097,"R",3332226,1 ,"R",75974640,"R",79465021
100724,"R",64347896,"R",275025359,"R",1620617,"R",276645976,"R",340993872,"R",22414992,"R",11124124,"R",33969368,"R",45093492,"R",215898178,"R",101005444,"R",316903622,"R",361997114,"R",20122020,"R",63558659,"R",14457126,"R",250000,"R",-96976055,"R",-18710270,"R",21200142,"R",86942823,"R",280014896,"R",27226154,"R",182915,"R",415566930,"R",144552645,"R",0,"R",11744019,"R",144415417,"R",148376524,"R",-3961107,"R",24932444,"R",-39681607,"R",-18710270,"R",46514508,"R",14359533,"R",5541600,"R",3445822,"R",0,"R",3445822,"R",8056667,"R",0,"R",0,"R",0,"R",9575915,"R",87494045,"R",0,"R",43254819,"R",0,"R",12416213,"R",0,"R",0,"R",290071,"R",960269,"R",0,"R",56921372,"R",144415417,"R",0,"R",0,"R",0,"R",0,"R",0,"R",144415417,"R",39035839,"R",23076987,"R",3748897,"R",1318984,"R",6903659,"R",773443,"R",12156797,"R",5155185,"R",17633405,"R",8023724,"R",39943269,"R",10304787,"R",15921853,"R",13032805,"R",2131534,"R",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",148376524,"R",50784644,"R",14476986,"R",13282934,"R",10847397,"R",13098732,"R",45885831,1 ,"R",3652020,"R",66081091,"R",15287000,"R",10049718,"R",12416213,"R",293573,"R",0,"R",0,"R",3212066,"R",11137353,"R",27059205,"R",7406165,"R",3731187,"R",11137352,"R",15921853,1 ,"R",100905446,"R",99638681
100733,"R",2690547,"R",12201689,"R",13273421,"R",25475110,"R",28165657,"R",5260125,"R",0,"R",3021585,"R",3021585,"R",0,"R",22104453,"R",22104453,"R",25126038,"R",3321715,"R",12201689,"R",0,"R",0,"R",-7223660,"R",4978029,"R",106750,"R",76802,"R",14846134,"R",1097003,"R",0,"R",16126689,"R",3844257,"R",0,"R",0,"R",20903786,"R",20037210,"R",866576,"R",9274031,"R",-5162578,"R",4978029,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",20480700,"R",20480700,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",420190,"R",2896,"R",423086,"R",20903786,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20903786,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20037210,"R",10024933,"R",0,"R",0,"Z",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",20037210,"R",10024933,"R",6539523,"R",0,"R",381703,"R",0,"R",3091051,1 ,"R",1554463,"R",15575000,"R",3321715,"R",5260125,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",553887777,"R",1824109472,"R",2021890344,"R",3845999816,"R",4399887593,"R",175548131,"R",32681257,"R",501594082,"R",534275339,"R",1005691287,"R",844763605,"R",1850454892,"R",2384730231,"R",89599673,"R",1151792864,"R",432404952,"R",458967808,"R",57940196,"R",2101105820,"R",164246591,"R",123925482,"R",2088737274,"R",348752140,"R",110448650,"R",2836110137,"R",799362127,"R",63307565,"R",0,"R",1294940485,"R",1106158897,"R",188781588,"R",2135101272,"R",-222777040,"R",2101105820,"R",516765773,"R",41759198,"R",31215296,"R",6581126,"R",991806,"R",5589320,"R",200256134,"R",0,"R",12644047,"R",0,"R",63073638,"R",872295212,"R",0,"R",156742802,"R",0,"R",35987034,"R",0,"R",0,"R",48858002,"R",90064841,"R",424348,"R",332077027,"R",1204372239,"R",0,"R",65669021,"R",24899225,"R",0,"R",90568246,"R",1294940485,"R",392019914,"R",195830781,"R",77055748,"R",23730372,"R",53737544,"R",27163856,"R",119725681,"R",47448215,"R",71865785,"R",29258167,"R",135891439,"R",49583364,"R",23685641,"R",229009230,"R",63253467,"R",0,"R",0,"R",0,"R",0,"R",3167915,"R",0,"R",1106158897,"R",436268222,"R",192790631,"R",94309507,"R",75485224,"R",41124252,"R",266181061,1 ,"R",62225221,"R",565233000,"R",58630000,"R",114569757,"R",27971357,"R",3675647,"R",575827,"R",0,"R",16400852,"R",250999797,"R",299623480,"R",269470952,"R",6466887,"R",275937839,"R",23685641,1 ,"R",785374066,"R",845934399
100760,"R",7248685,"R",21774057,"R",0,"R",21774057,"R",29022742,"R",2184742,"R",592460,"R",3333958,"R",3926418,"R",6956003,"R",19468034,"R",26424037,"R",30350455,"R",2993493,"R",14432820,"R",891430,"R",0,"R",-17460714,"R",-2136464,"R",1699274,"R",2366988,"R",32576656,"R",8515843,"R",496150,"R",45654911,"R",23880854,"R",0,"R",0,"R",19455606,"R",18662379,"R",793227,"R",5421753,"R",-8351444,"R",-2136464,"R",2279815,"R",1995551,"R",2198733,"R",125511,"R",125511,"R",0,"R",0,"A",,"R",0,"A",,"R",358726,"R",6958336,"R",0,"R",8423240,"R",0,"R",3570183,"R",0,"R",0,"R",495272,"R",8575,"R",0,"R",12497270,"R",19455606,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19455606,"R",8753392,"R",4614155,"R",0,"R",0,"R",245892,"R",95849,"R",1316545,"R",562910,"R",3433746,"R",1631036,"R",3293041,"R",1404096,"R",1594286,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",25477,"R",0,"R",18662379,"R",8308046,"R",2591764,"R",1623449,"R",1099717,"R",290626,"R",4748777,1 ,"R",912378,"R",11748000,"R",1757000,"R",1821378,"R",3452819,"R",62668,"R",574738,"R",0,"R",0,"R",1118792,"R",5209017,"R",3614731,"R",0,"R",3614731,"R",1594286,1 ,"R",425822,"R",429214
100812,"R",19493389,"R",41559164,"R",8100419,"R",49659583,"R",69152972,"R",5524181,"R",1450158,"R",7793276,"R",9243434,"R",12240911,"R",40406388,"R",52647299,"R",61890733,"R",5002898,"R",27868095,"R",698721,"Z",0,"R",-20783294,"R",7783522,"R",2593856,"R",2254419,"R",49633827,"R",3490638,"R",514720,"R",58487460,"R",16928296,"R",0,"R",0,"R",37833914,"R",35341976,"R",2491938,"R",20539793,"R",-15248209,"R",7783522,"R",15584286,"R",319269,"R",2436509,"Z",0,"Z",0,"Z",0,"R",381527,"Z",0,"Z",0,"Z",0,"R",0,"R",18721591,"Z",0,"R",12867151,"Z",0,"R",5699719,"Z",0,"Z",0,"R",0,"R",369192,"R",176261,"R",19112323,"R",37833914,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37833914,"R",18259874,"R",11660283,"Z",0,"Z",0,"Z",0,"Z",0,"R",3494788,"R",1846312,"R",3192258,"R",1938540,"R",6653545,"R",2780080,"R",3037734,"R",534652,"R",224462,"Z",0,"Z",0,"Z",0,"Z",0,"R",169125,"R",0,"R",35341976,"R",18449677,"R",5573507,"R",1813349,"R",1151957,"R",435874,"R",7917612,1 ,"R",2197909,"R",25426000,"R",3020000,"R",4640740,"R",5699719,"R",121986,"R",66469,"Z",0,"Z",0,"R",890414,"R",6778588,"R",3740854,"Z",0,"R",3740854,"R",3037734,1 ,"R",3673861,"R",3855735
100830,"R",18345395,"R",103672327,"R",54543710,"R",158216037,"R",176561432,"R",16304832,"R",221123,"R",27404316,"R",27625439,"R",0,"R",169556907,"R",169556907,"R",197182346,"R",7982050,"R",14256160,"R",29057693,"R",5234851,"R",-60846836,"R",-12298132,"R",15199323,"R",6643788,"R",132570820,"R",32508139,"R",63049,"R",186985119,"R",83312792,"R",0,"R",0,"R",93761631,"R",89212931,"R",4548700,"R",7241525,"R",-24088357,"R",-12298132,"R",35894562,"R",1182518,"R",5772892,"R",458796,"R",39035,"R",419761,"R",9012498,"R",0,"R",2137274,"R",0,"R",1734745,"R",56193285,"R",0,"R",23318449,"R",0,"R",10252505,"R",0,"R",0,"R",1214403,"R",2764719,"R",0,"R",37550076,"R",93743361,"R",0,"R",6590,"R",11680,"R",0,"R",18270,"R",93761631,"R",29772521,"R",20848391,"R",468572,"R",277702,"R",7611098,"R",2897650,"R",4241868,"R",2895474,"R",6892458,"R",3949660,"R",12375841,"R",5557629,"R",3312686,"R",7702445,"R",1158492,"R",0,"R",0,"R",0,"R",0,"R",16835442,"R",1361201,"R",89212931,"R",38946199,"R",14319340,"R",5907663,"R",5006694,"R",4062476,"R",20970559,1 ,"R",1089211,"R",56760504,"R",5125130,"R",11043168,"R",10252505,"R",145565,"R",53178,"R",0,"R",883763,"R",6723378,"R",18058389,"R",12866239,"R",1879464,"R",14745703,"R",3312686,1 ,"R",50109520,"R",51897574
100858,"R",577450217,"R",1515510050,"R",1303681505,"R",2819191555,"R",3396641772,"R",225007912,"R",37315647,"R",379387462,"R",416703109,"R",894863563,"R",1013554123,"R",1908417686,"R",2325120795,"R",91565684,"R",1116706101,"R",205368428,"R",24170449,"R",-141281773,"R",1204963205,"R",155914095,"R",245769417,"R",1764324925,"R",431408618,"R",139037874,"R",2736454929,"R",1034085916,"Z",0,"R",3821894,"R",1176700366,"R",1102264664,"R",74435702,"R",1409530622,"R",-279003119,"R",1204963205,"R",456313408,"R",89511875,"R",10813792,"R",18118070,"R",2523982,"R",15594088,"R",174992328,"R",0,"R",46303571,"R",0,"R",23892716,"R",819945760,"R",0,"R",233252297,"R",0,"R",17424738,"R",0,"R",0,"R",47093103,"R",32411306,"R",0,"R",330181444,"R",1150127204,"R",0,"R",26097996,"R",475166,"R",0,"R",26573162,"R",1176700366,"R",317188304,"R",168280076,"R",192211547,"R",83219286,"R",114553794,"R",45757747,"R",107381619,"R",53796718,"R",43505560,"R",19646466,"R",97007910,"R",55643164,"R",20221828,"R",210194101,"R",57507505,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1102264664,"R",483850962,"R",195499501,"R",99225737,"R",74586207,"R",25150257,"R",223952000,1 ,"R",9981326,"R",608716768,"R",58512619,"R",118279491,"R",17424738,"R",775500,"R",0,"R",0,"R",52658815,"R",73197157,"R",144056210,"R",116589276,"R",7245106,"R",123834382,"R",20221828,1 ,"R",728995077,"R",771403829
